Data;433 - Índice nacional de preços ao consumidor-amplo (IPCA) - Var. % mensal;3696 - Taxa de câmbio - Livre - Dólar americano (venda) - Fim de período - mensal - u.m.c./US$;4390 - Taxa de juros - Selic acumulada no mês - % a.m.;Índice Geral de Preços - IGP-M(200045);IGP-M - Fechamento mensal (%)(1000367);INCC-M - Fechamento mensal (%)(1000370);IPA-M - Fechamento mensal (% mês)  (1478707);IPAEP-M Ipa - todos os itens - Nro. Índice(1473921);IPC/BR-M - Fechamento Mensal - % (POF 2017/2018). Vigência a partir de 01/2020(1448925)
09/1994;1.53;0.853;3.83;101.751;1.75;;1.94;101.937;1.86
10/1994;2.62;0.846;3.62;103.602;1.82;;1.98;103.951;1.81
11/1994;2.81;0.845;4.07;106.553;2.85;;2.76;106.819;3.49
12/1994;1.71;0.846;3.8;107.45;0.84;;0.22;107.052;1.57
01/1995;1.7;0.842;3.37;108.442;0.92;;0.51;107.599;1.59
02/1995;1.02;0.8515;3.25;109.945;1.39;;0.88;108.542;1.68
03/1995;1.55;0.896;4.26;111.178;1.12;;0.12;108.673;2.63
04/1995;2.43;0.913;4.26;113.518;2.1;;1.61;110.428;2.82
05/1995;2.67;0.906;4.25;114.171;0.58;;-0.73;109.627;2.39
06/1995;2.26;0.922;4.04;116.984;2.46;;0.56;110.245;3.64
07/1995;2.36;0.936;4.02;119.114;1.82;;0.9;111.24;3.12
08/1995;0.99;0.951;3.84;121.729;2.2;;2.86;114.422;1.49
09/1995;0.99;0.954;3.32;120.869;-0.71;;-1.58;112.612;0.41
10/1995;1.41;0.9619;3.09;121.503;0.52;;0.33;112.98;0.8
11/1995;1.47;0.9666;2.88;122.955;1.2;;1.41;114.577;0.97
12/1995;1.56;0.9725;2.78;123.833;0.71;;0.2;114.811;1.46
01/1996;1.34;0.9786;2.58;125.977;1.73;;1.49;116.525;2.49
02/1996;1.03;0.9842;2.35;127.202;0.97;;0.48;117.081;1.67
03/1996;0.35;0.988;2.22;127.715;0.4;;0.13;117.228;0.93
04/1996;1.26;0.9925;2.07;128.13;0.32;;-0.05;117.174;0.75
05/1996;1.22;0.9984;2.01;130.121;1.55;;1.42;118.832;2.11
06/1996;1.19;1.0044;1.98;131.445;1.02;;0.41;119.318;1.67
07/1996;1.11;1.0112;1.93;133.213;1.35;1.52;1.59;121.217;0.9
08/1996;0.44;1.0169;1.97;133.587;0.28;0.74;0.22;121.488;0.22
09/1996;0.15;1.0215;1.9;133.722;0.1;0.15;0.35;121.911;-0.31
10/1996;0.3;1.0276;1.86;133.978;0.19;0.23;0.37;122.361;-0.11
11/1996;0.32;1.0332;1.8;134.242;0.2;0.29;0.02;122.384;0.46
12/1996;0.47;1.0394;1.8;135.225;0.73;0.49;1.23;123.89;0.01
01/1997;1.18;1.0461;1.73;137.613;1.77;0.68;1.93;126.281;1.86
02/1997;0.5;1.0515;1.67;138.204;0.43;0.31;0.27;126.621;0.73
03/1997;0.51;1.0593;1.64;139.795;1.15;0.42;1.62;128.671;0.63
04/1997;0.88;1.0638;1.66;140.742;0.68;0.73;0.61;129.457;0.77
05/1997;0.41;1.0717;1.58;141.04;0.21;0.3;0.2;129.71;0.21
06/1997;0.54;1.0769;1.61;142.09;0.74;1.0;0.32;130.122;1.36
07/1997;0.22;1.0834;1.6;142.221;0.09;0.94;-0.28;129.752;0.42
08/1997;-0.02;1.0916;1.59;142.353;0.09;0.55;0.09;129.869;-0.05
09/1997;0.06;1.0964;1.59;143.042;0.48;1.18;0.73;130.823;-0.15
10/1997;0.23;1.1031;1.67;143.567;0.37;0.22;0.44;131.396;0.3
11/1997;0.17;1.1098;3.04;144.481;0.64;0.22;0.91;132.596;0.33
12/1997;0.43;1.1164;2.97;145.695;0.84;0.52;0.97;133.888;0.73
01/1998;0.71;1.1237;2.67;147.091;0.96;0.29;0.99;135.215;1.12
02/1998;0.46;1.1304;2.13;147.356;0.18;0.48;-0.05;135.146;0.46
03/1998;0.34;1.1374;2.2;147.635;0.19;0.31;0.12;135.311;0.26
04/1998;0.24;1.1443;1.71;147.821;0.13;-0.46;0.2;135.584;0.2
05/1998;0.5;1.1505;1.63;148.021;0.14;0.47;-0.01;135.571;0.26
06/1998;0.02;1.1569;1.6;148.588;0.38;0.86;0.38;136.087;0.23
07/1998;-0.12;1.1634;1.7;148.339;-0.17;0.42;-0.34;135.63;-0.09
08/1998;-0.51;1.1769;1.48;148.109;-0.16;0.29;-0.06;135.546;-0.45
09/1998;-0.22;1.1856;2.49;147.984;-0.08;0.09;0.07;135.643;-0.4
10/1998;0.02;1.1932;2.94;148.1;0.08;0.05;0.09;135.76;0.08
11/1998;-0.12;1.2012;2.63;147.628;-0.32;-0.07;-0.52;135.052;-0.07
12/1998;0.33;1.2087;2.4;148.291;0.45;-0.01;0.94;136.32;-0.19
01/1999;0.7;1.9832;2.18;149.533;0.84;0.21;1.05;137.748;0.7
02/1999;1.05;2.0648;2.38;154.933;3.61;0.62;5.82;145.765;0.97
03/1999;1.1;1.722;3.33;159.325;2.83;0.91;4.16;151.824;1.19
04/1999;0.56;1.6607;2.35;160.459;0.71;0.58;0.76;152.974;0.67
05/1999;0.3;1.724;2.02;159.996;-0.29;0.38;-0.7;151.904;0.22
06/1999;0.19;1.7695;1.67;160.573;0.36;0.88;0.33;152.404;0.24
07/1999;1.09;1.7892;1.66;163.06;1.55;0.41;2.01;155.463;1.12
08/1999;0.56;1.9159;1.57;165.603;1.56;0.52;2.24;158.94;0.7
09/1999;0.31;1.9223;1.49;167.997;1.45;0.83;2.16;162.368;0.37
10/1999;1.19;1.953;1.38;170.861;1.7;0.79;2.5;166.428;0.55
11/1999;0.95;1.9227;1.39;174.939;2.39;1.22;3.26;171.846;1.15
12/1999;0.6;1.789;1.6;178.099;1.81;0.81;2.6;176.313;0.62
01/2000;0.62;1.8024;1.46;180.301;1.24;1.15;1.29;178.582;1.17
02/2000;0.13;1.7685;1.45;180.935;0.35;0.89;0.41;179.316;0.05
03/2000;0.22;1.7473;1.45;181.214;0.15;0.82;-0.06;179.215;0.34
04/2000;0.42;1.8067;1.3;181.635;0.23;0.69;0.04;179.293;0.45
05/2000;0.01;1.8266;1.49;182.189;0.31;0.57;0.2;179.644;0.43
06/2000;0.23;1.8;1.39;183.745;0.85;1.09;1.25;181.89;0.0
07/2000;1.61;1.7748;1.31;186.634;1.57;0.83;1.98;185.494;1.02
08/2000;1.31;1.8234;1.41;191.087;2.39;0.35;3.1;191.25;1.66
09/2000;0.23;1.8437;1.22;193.297;1.16;0.3;1.81;194.706;0.14
10/2000;0.14;1.909;1.29;194.04;0.38;0.28;0.59;195.855;0.0
11/2000;0.32;1.9596;1.22;194.599;0.29;0.29;0.36;196.556;0.14
12/2000;0.59;1.9554;1.2;195.827;0.63;0.49;0.66;197.859;0.61
01/2001;0.57;1.9711;1.27;197.045;0.62;0.4;0.66;199.167;0.62
02/2001;0.46;2.0452;1.02;197.491;0.23;0.55;0.08;199.321;0.42
03/2001;0.38;2.1616;1.26;198.606;0.56;0.34;0.65;200.609;0.47
04/2001;0.58;2.1847;1.19;200.591;1.0;0.28;1.24;203.102;0.74
05/2001;0.41;2.36;1.34;202.324;0.86;2.0;0.79;204.706;0.63
06/2001;0.52;2.3049;1.27;204.31;0.98;0.69;1.31;207.386;0.4
07/2001;1.33;2.4313;1.5;207.341;1.48;1.07;1.73;210.981;1.1
08/2001;0.7;2.5517;1.6;210.211;1.38;0.56;1.75;214.673;0.9
09/2001;0.28;2.6713;1.32;210.853;0.31;0.59;0.34;215.406;0.13
10/2001;0.83;2.7071;1.53;213.339;1.18;0.92;1.53;218.705;0.52
11/2001;0.71;2.5287;1.39;215.685;1.1;0.6;1.3;221.544;0.85
12/2001;0.65;2.3204;1.39;216.163;0.22;0.7;-0.08;221.371;0.7
01/2002;0.52;2.4183;1.53;216.944;0.36;0.4;0.14;221.687;0.82
02/2002;0.36;2.3482;1.25;217.074;0.06;0.31;-0.09;221.485;0.29
03/2002;0.6;2.3236;1.37;217.276;0.09;0.84;-0.14;221.177;0.33
04/2002;0.8;2.3625;1.48;218.486;0.56;0.32;0.52;222.319;0.72
05/2002;0.21;2.522;1.41;220.292;0.83;2.47;0.81;224.12;0.3
06/2002;0.42;2.8444;1.33;223.688;1.54;0.21;2.31;229.292;0.39
07/2002;1.19;3.4285;1.54;228.057;1.95;0.63;2.66;235.38;0.9
08/2002;0.65;3.0223;1.44;233.348;2.32;0.82;3.2;242.915;0.91
09/2002;0.72;3.8949;1.38;238.943;2.4;0.68;3.43;251.255;0.67
10/2002;1.31;3.645;1.65;248.199;3.87;0.82;5.62;265.383;0.91
11/2002;3.02;3.6365;1.54;261.08;5.19;2.19;6.73;283.248;2.51
12/2002;2.1;3.5333;1.74;270.867;3.75;2.13;4.45;295.849;2.55
01/2003;2.25;3.5258;1.97;277.173;2.33;1.45;2.55;303.402;2.06
02/2003;1.57;3.5632;1.83;283.506;2.28;1.6;2.64;311.401;1.62
03/2003;1.23;3.3531;1.78;287.855;1.53;1.38;1.72;316.763;1.1
04/2003;0.97;2.8898;1.87;290.512;0.92;0.81;0.8;319.305;1.28
05/2003;0.61;2.9656;1.97;289.747;-0.26;2.98;-1.11;315.749;0.83
06/2003;-0.15;2.872;1.86;286.843;-1.0;0.74;-1.67;310.47;0.1
07/2003;0.2;2.9655;2.08;285.649;-0.42;0.59;-0.75;308.141;0.07
08/2003;0.34;2.9665;1.77;286.735;0.38;2.2;0.2;308.752;0.18
09/2003;0.78;2.9234;1.68;290.127;1.18;0.24;1.54;313.511;0.63
10/2003;0.29;2.8562;1.64;291.229;0.38;0.47;0.36;314.646;0.39
11/2003;0.34;2.9494;1.34;292.657;0.49;0.42;0.57;316.45;0.31
12/2003;0.52;2.8892;1.37;294.455;0.61;0.99;0.64;318.475;0.41
01/2004;0.76;2.9409;1.27;297.039;0.88;0.28;0.98;321.59;0.84
02/2004;0.61;2.9138;1.08;299.097;0.69;0.48;0.79;324.128;0.53
03/2004;0.47;2.9086;1.38;302.484;1.13;1.59;1.33;328.441;0.46
04/2004;0.37;2.9447;1.18;306.151;1.21;0.6;1.65;333.871;0.31
05/2004;0.51;3.1291;1.23;310.152;1.31;1.74;1.52;338.955;0.59
06/2004;0.71;3.1075;1.23;314.419;1.38;0.56;1.73;344.816;0.76
07/2004;0.91;3.0268;1.29;318.532;1.31;1.12;1.58;350.256;0.67
08/2004;0.69;2.9338;1.29;322.412;1.22;0.9;1.42;355.227;0.8
